date,M2MoneySupply,M2MonthlyGrowth
1/1/2010,8458.1,
2/1/2010,8507.4,0.582873222
3/1/2010,8504.5,-0.03408797
4/1/2010,8535.2,0.360985361
5/1/2010,8589.9,0.640875433
6/1/2010,8609,0.22235416
7/1/2010,8618.8,0.113834359
8/1/2010,8669.1,0.583607927
9/1/2010,8700.1,0.357591907
10/1/2010,8749.4,0.566660153
11/1/2010,8770,0.235444716
12/1/2010,8801.8,0.362599772
1/1/2011,8823.1,0.241995955
2/1/2011,8886.9,0.723101858
3/1/2011,8943.5,0.636892505
4/1/2011,9004.9,0.686532118
5/1/2011,9075.5,0.78401759
6/1/2011,9151,0.831910088
7/1/2011,9316.6,1.809638291
8/1/2011,9507.6,2.050104115
9/1/2011,9528.3,0.21772056
10/1/2011,9562.1,0.354732744
11/1/2011,9612.6,0.528126667
12/1/2011,9660.1,0.494143104
1/1/2012,9733.3,0.757756131
2/1/2012,9785.7,0.538358008
3/1/2012,9830.6,0.458832787
4/1/2012,9884.6,0.549305231
5/1/2012,9928.4,0.44311353
6/1/2012,9999.3,0.714113049
7/1/2012,10051.8,0.525036753
8/1/2012,10121.3,0.691418452
9/1/2012,10200.8,0.785472222
10/1/2012,10267.3,0.651909654
11/1/2012,10337.6,0.684698022
12/1/2012,10459.7,1.181125213
1/1/2013,10482.9,0.221803685
2/1/2013,10501.3,0.175523949
3/1/2013,10558.3,0.54278994
4/1/2013,10586.3,0.265194207
5/1/2013,10621,0.327782134
6/1/2013,10678.7,0.543263346
7/1/2013,10718.4,0.371768099
8/1/2013,10776.6,0.542991491
9/1/2013,10837.2,0.562329492
10/1/2013,10961.6,1.147897981
11/1/2013,10969.7,0.073894322
12/1/2013,11035,0.595276079
1/1/2014,11080.8,0.415043045
2/1/2014,11178.8,0.884412678
3/1/2014,11208.1,0.262103267
4/1/2014,11257.7,0.442537094
5/1/2014,11321,0.562281816
6/1/2014,11374.9,0.476106351
7/1/2014,11429.9,0.483520734
8/1/2014,11458.9,0.253720505
9/1/2014,11499.8,0.356927803
10/1/2014,11566,0.575662185
11/1/2014,11604.8,0.335466021
12/1/2014,11684.9,0.690231628
1/1/2015,11745.6,0.519473851
2/1/2015,11879,1.135744449
3/1/2015,11886.8,0.065662093
4/1/2015,11928.9,0.354174378
5/1/2015,11957.9,0.243107076
6/1/2015,12001.7,0.36628505
7/1/2015,12051.3,0.413274786
8/1/2015,12101.9,0.419871715
9/1/2015,12160.8,0.486700435
10/1/2015,12195.9,0.288632327
11/1/2015,12284.6,0.727293599
12/1/2015,12346.8,0.506324992
1/1/2016,12469.9,0.997019471
2/1/2016,12556.7,0.696076151
3/1/2016,12616.7,0.477832552
4/1/2016,12700.4,0.663406437
5/1/2016,12766.2,0.518093918
6/1/2016,12829.4,0.495057261
7/1/2016,12887.7,0.454424993
8/1/2016,12972.8,0.660319529
9/1/2016,13033.6,0.468672916
10/1/2016,13100.5,0.513288731
11/1/2016,13173.4,0.55646731
12/1/2016,13213.4,0.303642188
1/1/2017,13283.4,0.529765238
2/1/2017,13358.8,0.567625758
3/1/2017,13426.9,0.509776327
