date,cpi,cpi_year_growth
1/1/2013,230.28,1.6
2/1/2013,232.166,2
3/1/2013,232.773,1.5
4/1/2013,232.531,1.1
5/1/2013,232.945,1.4
6/1/2013,233.504,1.8
7/1/2013,233.596,2
8/1/2013,233.877,1.5
9/1/2013,234.149,1.2
10/1/2013,233.546,1
11/1/2013,233.069,1.2
12/1/2013,233.049,1.5
1/1/2014,233.916,1.578947368
2/1/2014,234.781,1.12634925
3/1/2014,236.293,1.512202876
4/1/2014,237.072,1.952857899
5/1/2014,237.9,2.12711155
6/1/2014,238.343,2.072341373
7/1/2014,238.25,1.992328636
8/1/2014,237.852,1.699611334
9/1/2014,238.031,1.657918676
10/1/2014,237.433,1.664340216
11/1/2014,236.151,1.322355182
12/1/2014,234.812,0.75649327
1/1/2015,233.707,-0.089348313
2/1/2015,234.722,-0.025129802
3/1/2015,236.119,-0.073637391
4/1/2015,236.599,-0.199517446
5/1/2015,237.805,-0.039932745
6/1/2015,238.638,0.123771204
7/1/2015,238.654,0.16956978
8/1/2015,238.316,0.195079293
9/1/2015,237.945,-0.036129748
10/1/2015,237.838,0.170574436
11/1/2015,237.336,0.501797579
12/1/2015,236.525,0.729519786
1/1/2016,236.916,1.373086814
2/1/2016,237.111,1.01779978
3/1/2016,238.132,0.852536221
4/1/2016,239.261,1.125110419
5/1/2016,240.229,1.019322554
6/1/2016,241.018,0.997326495
7/1/2016,240.628,0.82713887
8/1/2016,240.849,1.062874503
9/1/2016,241.428,1.463783647
10/1/2016,241.729,1.635987521
11/1/2016,241.353,1.692537163
12/1/2016,241.432,2.074622133
1/1/2017,242.839,2.500042209
2/1/2017,243.603,2.737958171
3/1/2017,243.801,2.380612433
4/1/2017,244.524,2.199689878
5/1/2017,244.733,1.874877721
6/1/2017,244.955,1.633487955
7/1/2017,244.786,1.727978456
8/1/2017,245.519,1.938974212
9/1/2017,246.819,2.232963865
10/1/2017,246.663,2.041128702
11/1/2017,246.669,2.202582939
12/1/2017,246.524,2.109082475
1/1/2018,247.867,2.07050762
2/1/2018,248.991,2.211795421
3/1/2018,249.554,2.359711404
4/1/2018,250.546,2.462743943
5/1/2018,251.588,2.801011715
6/1/2018,251.989,2.871547835
7/1/2018,252.006,2.949515087
8/1/2018,252.146,2.699180104
9/1/2018,252.439,2.276972194
10/1/2018,252.885,2.522469929
11/1/2018,252.038,2.176601032
12/1/2018,251.233,1.910158849
1/1/2019,251.712,1.551235138
2/1/2019,252.776,1.520135266
3/1/2019,254.202,1.862522741
4/1/2019,255.548,1.996439776
5/1/2019,256.092,1.790228469
6/1/2019,256.143,1.648484656
7/1/2019,256.571,1.811464806
8/1/2019,256.558,1.749779889
9/1/2019,256.759,1.711304513
10/1/2019,257.346,1.764042944
11/1/2019,257.208,2.051277982
12/1/2019,256.974,2.28512974
1/1/2020,257.971,2.486571955
2/1/2020,258.678,2.334873564
3/1/2020,258.115,1.539326992
4/1/2020,256.389,0.329096686
5/1/2020,256.394,0.11792637
6/1/2020,257.797,0.645733048
7/1/2020,259.101,0.986081825
8/1/2020,259.918,1.309645382
9/1/2020,260.28,1.371324861
10/1/2020,260.388,1.182066168
11/1/2020,260.229,1.174535784
12/1/2020,260.474,1.362005495
1/1/2021,261.582,1.399769742
2/1/2021,263.014,1.676215217
3/1/2021,264.877,2.619762509
4/1/2021,267.054,4.159694839
5/1/2021,269.195,4.992706538
6/1/2021,271.696,5.391451413
7/1/2021,273.003,5.365475239
8/1/2021,273.567,5.251271555
9/1/2021,274.31,5.390348855
10/1/2021,276.589,6.221868903
11/1/2021,277.948,6.80900284
12/1/2021,278.802,7.036402866
1/1/2022,281.148,7.479872468
2/1/2022,283.716,7.871063898
3/1/2022,287.504,8.542455555
4/1/2022,289.109,8.258629341
5/1/2022,292.296,8.581511544
6/1/2022,296.311,9.059757965
7/1/2022,296.276,8.524814746
8/1/2022,296.171,8.262692503
9/1/2022,296.808,8.201669644
10/1/2022,298.012,7.745427331
11/1/2022,297.711,7.110322794
12/1/2022,296.797,6.454401331
1/1/2023,299.17,6.410146969
2/1/2023,300.84,6.035613078
3/1/2023,301.836,4.984974122
