ticker,date,stock_price,price_to_sales,FedFundsRate,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,sales,quarter_sales_growth_pct,annual_sales_growth_pct,FedFundsRateNext,10yr_next,30yr_next,year,ps_prev,ipo_year,year_from_ipo,growth_rolling_avg,index_x,CPI_GROWTH_PCT,index_y,M2MoneySupply,M2MonthlyGrowth
adbe,2011-02-28,34.5,4.55,0.16,0.13,0.15,0.18,0.25,0.69,1.18,2.13,2.82,3.42,4.25,4.49,7.582417582,5.553798719,29.32781504,0.1,3.05,4.22,2011,3.87,2010,1,6.653453955,14,2.61924,14,8943.5,0.636892505
orcl,2011-02-28,27.86,4.14,0.16,0.13,0.15,0.18,0.25,0.69,1.18,2.13,2.82,3.42,4.25,4.49,6.729468599,7.106540011,41.60464813,0.1,3.05,4.22,2011,3.64,2010,1,9.096937222749991,14,2.61924,14,8943.5,0.636892505
payx,2011-02-28,22.85,4.02,0.16,0.13,0.15,0.18,0.25,0.69,1.18,2.13,2.82,3.42,4.25,4.49,5.684079602,1.24766791,2.657569005,0.1,3.05,4.22,2011,3.42,2010,1,0.6589479544999939,14,2.61924,14,8943.5,0.636892505
adbe,2011-05-31,34.63,4.42,0.1,0.04,0.06,0.12,0.18,0.45,0.79,1.68,2.37,3.05,3.91,4.22,7.834841629,3.329070759,27.48713623,0.08,2.23,3.6,2011,4.55,2010,1,6.28048371525,17,3.50232,17,9151.0,0.831910088
orcl,2011-05-31,29.03,4.17,0.1,0.04,0.06,0.12,0.18,0.45,0.79,1.68,2.37,3.05,3.91,4.22,6.961630695,3.449932086,31.46898578,0.08,2.23,3.6,2011,4.14,2010,1,7.1030571167499925,17,3.50232,17,9151.0,0.831910088
payx,2011-05-31,22.15,3.85,0.1,0.04,0.06,0.12,0.18,0.45,0.79,1.68,2.37,3.05,3.91,4.22,5.753246753,1.216857541,3.96325423,0.08,2.23,3.6,2011,4.02,2010,1,0.976746190999994,17,3.50232,17,9151.0,0.831910088
adbe,2011-08-31,25.24,3.16,0.08,0.01,0.02,0.05,0.1,0.2,0.33,0.96,1.56,2.23,3.19,3.6,7.987341772,1.946435556,19.08924736,0.1,2.08,3.06,2011,4.42,2010,1,4.48322901875,20,3.81262,20,9528.3,0.21772056
orcl,2011-08-31,23.86,3.36,0.08,0.01,0.02,0.05,0.1,0.2,0.33,0.96,1.56,2.23,3.19,3.6,7.101190476,2.004699572,23.29793556,0.1,2.08,3.06,2011,4.17,2010,1,5.413074395249993,20,3.81262,20,9528.3,0.21772056
payx,2011-08-31,18.7,3.18,0.08,0.01,0.02,0.05,0.1,0.2,0.33,0.96,1.56,2.23,3.19,3.6,5.880503145,2.211905675,5.465545529,0.1,2.08,3.06,2011,3.85,2010,1,1.3407324954999935,20,3.81262,20,9528.3,0.21772056
adbe,2011-11-30,27.42,3.28,0.1,0.02,0.01,0.06,0.12,0.25,0.41,0.96,1.53,2.08,2.77,3.06,8.359756098,4.66255653,16.37502193,0.1,1.98,3.08,2011,3.16,2010,1,3.872965391,23,3.06207,23,9660.1,0.494143104
orcl,2011-11-30,26.7,3.74,0.1,0.02,0.01,0.06,0.12,0.25,0.41,0.96,1.53,2.08,2.77,3.06,7.139037433,0.532966368,13.62525692,0.1,1.98,3.08,2011,3.36,2010,1,3.273534509249993,23,3.06207,23,9660.1,0.494143104
payx,2011-11-30,20.4,3.42,0.1,0.02,0.01,0.06,0.12,0.25,0.41,0.96,1.53,2.08,2.77,3.06,5.964912281,1.435406699,6.25,0.1,1.98,3.08,2011,3.18,2010,1,1.527959456249994,23,3.06207,23,9660.1,0.494143104
adbe,2012-02-29,32.89,3.9,0.1,0.08,0.08,0.13,0.18,0.3,0.43,0.87,1.39,1.98,2.73,3.08,8.433333333,0.880136154,11.22222222,0.16,1.59,2.67,2012,3.28,2010,2,2.70454974975,26,2.58288,26,9830.6,0.458832787
orcl,2012-02-29,24.97,3.46,0.1,0.08,0.08,0.13,0.18,0.3,0.43,0.87,1.39,1.98,2.73,3.08,7.216763006,1.088740231,7.241201881,0.16,1.59,2.67,2012,3.74,2010,2,1.7690845642499928,26,2.58288,26,9830.6,0.458832787
payx,2012-02-29,22.16,3.65,0.1,0.08,0.08,0.13,0.18,0.3,0.43,0.87,1.39,1.98,2.73,3.08,6.071232877,1.782433521,6.811186715,0.16,1.59,2.67,2012,3.42,2010,2,1.661650858999994,26,2.58288,26,9830.6,0.458832787
adbe,2012-05-31,31.05,3.59,0.16,0.03,0.07,0.14,0.18,0.27,0.35,0.67,1.03,1.59,2.27,2.67,8.64902507,2.557609521,10.39183023,0.13,1.57,2.68,2012,3.9,2010,2,2.51168444025,29,1.65387,29,9999.3,0.714113049
orcl,2012-05-31,22.64,3.12,0.16,0.03,0.07,0.14,0.18,0.27,0.35,0.67,1.03,1.59,2.27,2.67,7.256410256,0.549377201,4.234346432,0.13,1.57,2.68,2012,3.46,2010,2,1.0439458429999928,29,1.65387,29,9999.3,0.714113049
