Date,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,2 Mo,4 Mo,date
12/31/2009,0.04,0.06,0.2,0.47,1.14,1.7,2.69,3.39,3.85,4.58,4.63,,,2009-12-31
12/30/2009,0.02,0.05,0.19,0.45,1.08,1.65,2.61,3.34,3.8,4.54,4.61,,,2009-12-30
12/29/2009,0.02,0.1,0.2,0.47,1.09,1.64,2.62,3.33,3.82,4.57,4.64,,,2009-12-29
12/28/2009,0.03,0.11,0.2,0.47,1.09,1.63,2.62,3.34,3.85,4.61,4.69,,,2009-12-28
12/24/2009,0.02,0.05,0.18,0.43,1.0,1.56,2.57,3.32,3.82,4.6,4.68,,,2009-12-24
12/23/2009,0.01,0.07,0.17,0.41,0.96,1.51,2.51,3.26,3.77,4.54,4.61,,,2009-12-23
12/22/2009,0.01,0.08,0.18,0.41,0.95,1.48,2.49,3.24,3.76,4.52,4.6,,,2009-12-22
12/21/2009,0.01,0.08,0.17,0.4,0.89,1.42,2.43,3.18,3.69,4.47,4.56,,,2009-12-21
12/18/2009,0.01,0.05,0.16,0.36,0.82,1.32,2.3,3.04,3.55,4.36,4.46,,,2009-12-18
12/17/2009,0.01,0.04,0.15,0.35,0.77,1.27,2.24,2.97,3.5,4.31,4.42,,,2009-12-17
12/16/2009,0.02,0.04,0.17,0.38,0.85,1.36,2.35,3.09,3.61,4.42,4.52,,,2009-12-16
12/15/2009,0.02,0.05,0.17,0.41,0.88,1.38,2.35,3.08,3.6,4.42,4.52,,,2009-12-15
12/14/2009,0.02,0.04,0.16,0.37,0.87,1.35,2.3,3.04,3.56,4.39,4.49,,,2009-12-14
12/11/2009,0.01,0.03,0.16,0.35,0.83,1.3,2.26,3.02,3.55,4.39,4.49,,,2009-12-11
12/10/2009,0.01,0.02,0.15,0.32,0.78,1.26,2.19,2.95,3.49,4.37,4.5,,,2009-12-10
12/09/2009,0.01,0.03,0.14,0.31,0.76,1.23,2.15,2.89,3.45,4.31,4.41,,,2009-12-09
12/08/2009,0.02,0.03,0.15,0.29,0.73,1.21,2.12,2.86,3.4,4.28,4.39,,,2009-12-08
12/07/2009,0.07,0.04,0.16,0.32,0.78,1.26,2.19,2.92,3.44,4.29,4.4,,,2009-12-07
12/04/2009,0.08,0.06,0.17,0.36,0.84,1.34,2.24,2.97,3.48,4.31,4.4,,,2009-12-04
12/03/2009,0.09,0.06,0.16,0.3,0.74,1.23,2.14,2.87,3.39,4.23,4.33,,,2009-12-03
12/02/2009,0.08,0.05,0.15,0.28,0.72,1.19,2.09,2.8,3.32,4.14,4.26,,,2009-12-02
12/01/2009,0.09,0.06,0.15,0.26,0.67,1.14,2.03,2.74,3.28,4.14,4.26,,,2009-12-01
11/30/2009,0.08,0.06,0.15,0.27,0.67,1.12,2.01,2.69,3.21,4.07,4.2,,,2009-11-30
11/27/2009,0.06,0.03,0.14,0.26,0.68,1.15,2.03,2.71,3.21,4.07,4.21,,,2009-11-27
11/25/2009,0.07,0.05,0.14,0.26,0.73,1.23,2.11,2.78,3.28,4.12,4.23,,,2009-11-25
11/24/2009,0.06,0.05,0.14,0.28,0.73,1.22,2.15,2.82,3.32,4.16,4.25,,,2009-11-24
11/23/2009,0.05,0.05,0.14,0.29,0.77,1.28,2.2,2.9,3.37,4.2,4.29,,,2009-11-23
11/20/2009,0.04,0.02,0.13,0.27,0.75,1.25,2.2,2.9,3.36,4.2,4.3,,,2009-11-20
11/19/2009,0.03,0.02,0.14,0.27,0.73,1.24,2.18,2.88,3.35,4.19,4.29,,,2009-11-19
11/18/2009,0.04,0.04,0.15,0.29,0.77,1.27,2.21,2.9,3.36,4.21,4.29,,,2009-11-18
11/17/2009,0.05,0.06,0.16,0.32,0.78,1.28,2.19,2.87,3.33,4.17,4.26,,,2009-11-17
11/16/2009,0.05,0.07,0.17,0.31,0.78,1.28,2.19,2.87,3.33,4.18,4.26,,,2009-11-16
11/13/2009,0.05,0.06,0.17,0.32,0.82,1.34,2.28,2.97,3.43,4.29,4.36,,,2009-11-13
11/12/2009,0.06,0.07,0.16,0.32,0.82,1.36,2.28,2.98,3.45,4.33,4.41,,,2009-11-12
11/10/2009,0.06,0.07,0.16,0.33,0.85,1.39,2.31,3.01,3.5,4.36,4.41,,,2009-11-10
11/09/2009,0.06,0.07,0.17,0.34,0.87,1.4,2.31,3.01,3.52,4.34,4.4,,,2009-11-09
11/06/2009,0.06,0.06,0.16,0.34,0.86,1.4,2.3,3.02,3.54,4.35,4.4,,,2009-11-06
11/05/2009,0.06,0.04,0.16,0.36,0.9,1.44,2.35,3.06,3.57,4.36,4.41,,,2009-11-05
11/04/2009,0.05,0.05,0.16,0.36,0.91,1.46,2.39,3.09,3.57,4.36,4.41,,,2009-11-04
11/03/2009,0.04,0.06,0.17,0.38,0.92,1.46,2.36,3.05,3.5,4.29,4.34,,,2009-11-03
11/02/2009,0.03,0.06,0.17,0.38,0.92,1.44,2.33,3.0,3.45,4.22,4.26,,,2009-11-02
10/30/2009,0.01,0.05,0.16,0.37,0.9,1.43,2.31,2.98,3.41,4.19,4.23,,,2009-10-30
10/29/2009,0.02,0.06,0.17,0.4,0.98,1.52,2.44,3.12,3.53,4.31,4.35,,,2009-10-29
10/28/2009,0.04,0.07,0.17,0.39,0.95,1.47,2.37,3.01,3.44,4.22,4.25,,,2009-10-28
10/27/2009,0.05,0.08,0.17,0.39,0.99,1.51,2.41,3.05,3.49,4.26,4.29,,,2009-10-27
10/26/2009,0.04,0.08,0.18,0.41,1.06,1.61,2.53,3.17,3.59,4.35,4.37,,,2009-10-26
10/23/2009,0.02,0.07,0.18,0.4,1.04,1.57,2.46,3.1,3.51,4.27,4.29,,,2009-10-23
10/22/2009,0.02,0.06,0.15,0.38,0.97,1.5,2.39,3.03,3.44,4.22,4.24,,,2009-10-22
10/21/2009,0.05,0.07,0.17,0.4,1.0,1.51,2.38,3.01,3.42,4.2,4.22,,,2009-10-21
10/20/2009,0.05,0.08,0.17,0.39,0.95,1.44,2.3,2.93,3.35,4.14,4.16,,,2009-10-20
10/19/2009,0.06,0.08,0.18,0.38,0.99,1.5,2.36,2.98,3.41,4.19,4.21,,,2009-10-19
10/16/2009,0.06,0.07,0.17,0.36,0.97,1.49,2.37,2.99,3.43,4.22,4.24,,,2009-10-16
10/15/2009,0.06,0.07,0.15,0.36,0.97,1.5,2.41,3.05,3.49,4.29,4.31,,,2009-10-15
10/14/2009,0.05,0.07,0.15,0.35,0.96,1.47,2.36,3.01,3.45,4.26,4.28,,,2009-10-14
10/13/2009,0.04,0.07,0.15,0.35,0.91,1.42,2.28,2.9,3.34,4.14,4.16,,,2009-10-13
10/09/2009,0.04,0.07,0.16,0.38,0.98,1.5,2.36,2.98,3.4,4.2,4.22,,,2009-10-09
10/08/2009,0.03,0.06,0.15,0.35,0.9,1.4,2.22,2.83,3.27,4.05,4.09,,,2009-10-08
10/07/2009,0.06,0.09,0.14,0.34,0.87,1.35,2.16,2.77,3.21,3.96,3.99,,,2009-10-07
10/06/2009,0.05,0.08,0.15,0.37,0.91,1.43,2.25,2.85,3.27,4.03,4.07,,,2009-10-06
10/05/2009,0.04,0.08,0.15,0.36,0.88,1.38,2.21,2.82,3.24,3.98,4.01,,,2009-10-05
10/02/2009,0.04,0.1,0.15,0.37,0.88,1.38,2.22,2.83,3.24,3.98,4.01,,,2009-10-02
10/01/2009,0.03,0.1,0.15,0.37,0.87,1.36,2.2,2.82,3.21,3.95,3.97,,,2009-10-01
09/30/2009,0.06,0.14,0.18,0.4,0.95,1.45,2.31,2.93,3.31,4.02,4.03,,,2009-09-30
09/29/2009,0.07,0.13,0.19,0.41,1.0,1.48,2.34,2.94,3.31,4.02,4.03,,,2009-09-29
09/28/2009,0.03,0.11,0.18,0.4,0.98,1.47,2.33,2.95,3.31,4.02,4.04,,,2009-09-28
09/25/2009,0.03,0.1,0.2,0.41,0.98,1.49,2.36,2.98,3.34,4.07,4.1,,,2009-09-25
09/24/2009,0.03,0.1,0.19,0.39,0.93,1.45,2.37,3.03,3.4,4.14,4.17,,,2009-09-24
09/23/2009,0.05,0.11,0.2,0.41,0.96,1.49,2.4,3.05,3.44,4.18,4.21,,,2009-09-23
09/22/2009,0.05,0.11,0.2,0.42,1.02,1.54,2.45,3.09,3.46,4.18,4.2,,,2009-09-22
09/21/2009,0.05,0.11,0.2,0.4,1.02,1.56,2.47,3.11,3.49,4.2,4.23,,,2009-09-21
09/18/2009,0.03,0.08,0.2,0.41,1.03,1.57,2.49,3.12,3.49,4.2,4.24,,,2009-09-18
09/17/2009,0.03,0.1,0.2,0.4,0.98,1.51,2.41,3.04,3.42,4.14,4.19,,,2009-09-17
09/16/2009,0.03,0.1,0.2,0.38,1.01,1.55,2.46,3.11,3.48,4.22,4.26,,,2009-09-16
09/15/2009,0.05,0.13,0.21,0.39,0.96,1.49,2.41,3.07,3.47,4.21,4.27,,,2009-09-15
09/14/2009,0.08,0.14,0.21,0.4,0.94,1.46,2.37,3.01,3.42,4.16,4.22,,,2009-09-14
09/11/2009,0.08,0.14,0.21,0.39,0.9,1.42,2.29,2.93,3.34,4.1,4.18,,,2009-09-11
09/10/2009,0.08,0.14,0.21,0.4,0.9,1.42,2.29,2.95,3.36,4.11,4.19,,,2009-09-10
09/09/2009,0.09,0.14,0.22,0.4,0.93,1.48,2.38,3.07,3.48,4.26,4.33,,,2009-09-09
09/08/2009,0.1,0.14,0.24,0.41,0.93,1.49,2.38,3.06,3.47,4.24,4.31,,,2009-09-08
09/04/2009,0.09,0.14,0.23,0.42,0.94,1.46,2.36,3.06,3.45,4.21,4.27,,,2009-09-04
09/03/2009,0.09,0.15,0.23,0.42,0.91,1.42,2.29,2.95,3.33,4.09,4.15,,,2009-09-03
09/02/2009,0.09,0.14,0.22,0.41,0.89,1.39,2.26,2.91,3.29,4.04,4.09,,,2009-09-02
09/01/2009,0.08,0.14,0.23,0.43,0.92,1.44,2.33,2.99,3.38,4.14,4.19,,,2009-09-01
08/31/2009,0.11,0.15,0.24,0.43,0.97,1.49,2.39,3.03,3.4,4.14,4.18,,,2009-08-31
08/28/2009,0.11,0.15,0.25,0.44,1.01,1.55,2.46,3.09,3.46,4.17,4.21,,,2009-08-28
08/27/2009,0.11,0.15,0.26,0.46,1.04,1.58,2.48,3.12,3.47,4.19,4.23,,,2009-08-27
08/26/2009,0.11,0.15,0.25,0.45,1.06,1.57,2.46,3.09,3.44,4.15,4.2,,,2009-08-26
08/25/2009,0.12,0.17,0.26,0.47,1.05,1.56,2.48,3.1,3.45,4.17,4.22,,,2009-08-25
08/24/2009,0.11,0.17,0.26,0.44,1.05,1.57,2.5,3.13,3.48,4.22,4.27,,,2009-08-24
08/21/2009,0.11,0.17,0.26,0.45,1.13,1.65,2.58,3.21,3.56,4.32,4.36,,,2009-08-21
08/20/2009,0.11,0.17,0.26,0.42,1.03,1.53,2.43,3.06,3.42,4.18,4.24,,,2009-08-20
08/19/2009,0.1,0.17,0.25,0.43,1.01,1.52,2.43,3.07,3.45,4.23,4.28,,,2009-08-19
08/18/2009,0.14,0.18,0.27,0.43,1.06,1.57,2.48,3.13,3.51,4.29,4.35,,,2009-08-18
08/17/2009,0.11,0.18,0.27,0.45,1.04,1.54,2.43,3.09,3.48,4.26,4.33,,,2009-08-17
08/14/2009,0.1,0.18,0.26,0.44,1.07,1.61,2.51,3.17,3.55,4.33,4.41,,,2009-08-14
08/13/2009,0.1,0.17,0.28,0.45,1.12,1.66,2.58,3.22,3.59,4.37,4.44,,,2009-08-13
08/12/2009,0.14,0.17,0.28,0.47,1.18,1.76,2.7,3.35,3.72,4.49,4.53,,,2009-08-12
08/11/2009,0.14,0.18,0.28,0.48,1.21,1.78,2.69,3.32,3.71,4.4,4.44,,,2009-08-11
08/10/2009,0.15,0.19,0.29,0.49,1.24,1.79,2.75,3.4,3.8,4.49,4.52,,,2009-08-10
08/07/2009,0.14,0.19,0.3,0.52,1.32,1.87,2.84,3.5,3.89,4.59,4.61,,,2009-08-07
08/06/2009,0.15,0.17,0.28,0.48,1.22,1.77,2.73,3.39,3.79,4.51,4.53,,,2009-08-06
08/05/2009,0.15,0.18,0.29,0.49,1.23,1.78,2.73,3.4,3.8,4.54,4.57,,,2009-08-05
08/04/2009,0.15,0.18,0.28,0.47,1.2,1.75,2.68,3.32,3.7,4.44,4.45,,,2009-08-04
08/03/2009,0.15,0.19,0.28,0.48,1.18,1.72,2.66,3.3,3.66,4.4,4.42,,,2009-08-03
07/31/2009,0.14,0.18,0.26,0.48,1.13,1.62,2.53,3.14,3.52,4.29,4.31,,,2009-07-31
07/30/2009,0.14,0.18,0.27,0.48,1.19,1.73,2.66,3.31,3.67,4.44,4.44,,,2009-07-30
07/29/2009,0.14,0.19,0.26,0.5,1.17,1.72,2.69,3.31,3.69,4.49,4.5,,,2009-07-29
07/28/2009,0.14,0.19,0.26,0.49,1.12,1.66,2.63,3.3,3.72,4.54,4.56,,,2009-07-28
07/27/2009,0.15,0.19,0.27,0.49,1.08,1.63,2.63,3.31,3.75,4.6,4.62,,,2009-07-27
